id,building,name,lat,lon,vlm_damage_class,confidence,action_priority,compare_chip,google_maps_url,warning
osm_way_208454224,apartments,Residencias Basento,10.470333522222223,-66.96209106666667,uncertain_comparison_problem,0.05,urgent_review,chips/osm_way_208454224_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.470333522222223,-66.96209106666667",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_226086257,apartments,Bloque 4,10.434729175,-66.96909175,possible_major_damage,0.55,review,chips/osm_way_226086257_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.434729175,-66.96909175",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_230042909,apartments,Bloque 33,10.431210625,-66.964767225,possible_major_damage,0.45,review,chips/osm_way_230042909_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.431210625,-66.964767225",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_230253148,apartments,Bloque 46,10.42802356,-66.97462942,uncertain_comparison_problem,0.05,urgent_review,chips/osm_way_230253148_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.42802356,-66.97462942",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_233926033,apartments,Bloque 3,10.434816399999999,-66.9698764,possible_major_damage,0.45,review,chips/osm_way_233926033_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.434816399999999,-66.9698764",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_233926035,apartments,Bloque 2,10.435098020000002,-66.9705091,minor_visible_damage,0.45,review,chips/osm_way_233926035_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.435098020000002,-66.9705091",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_256397744,apartments,Edificio Mago,10.487566375,-66.9475679,uncertain_comparison_problem,0.0,urgent_review,chips/osm_way_256397744_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.487566375,-66.9475679",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_271954129,apartments,Edificio Berlios,10.488580875,-66.9437005,uncertain_comparison_problem,0.95,urgent_review,chips/osm_way_271954129_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.488580875,-66.9437005",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_279893920,apartments,Bloque 29,10.430564358333333,-66.96269544166667,uncertain_comparison_problem,0.25,review,chips/osm_way_279893920_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.430564358333333,-66.96269544166667",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_279903136,apartments,Bloque 41,10.42974915,-66.97404445,uncertain_comparison_problem,0.05,review,chips/osm_way_279903136_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.42974915,-66.97404445",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_279903140,apartments,Bloque 43,10.430373,-66.973884825,uncertain_comparison_problem,0.95,review,chips/osm_way_279903140_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.430373,-66.973884825",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_279903142,apartments,Bloque 42,10.42996415,-66.97366355,uncertain_comparison_problem,0.15,deprioritize,chips/osm_way_279903142_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.42996415,-66.97366355",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_279903146,apartments,Bloque 61,10.429958899999999,-66.97263695000001,uncertain_comparison_problem,0.25,review,chips/osm_way_279903146_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.429958899999999,-66.97263695000001",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_279903147,apartments,Bloque 60,10.429675249999999,-66.9727536,uncertain_comparison_problem,0.2,urgent_review,chips/osm_way_279903147_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.429675249999999,-66.9727536",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_279903148,apartments,Bloque 59,10.429185975,-66.972815975,uncertain_comparison_problem,low,review,chips/osm_way_279903148_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.429185975,-66.972815975",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_279905876,apartments,Bloque 32,10.430673676470589,-66.96378734117648,uncertain_comparison_problem,0.25,review,chips/osm_way_279905876_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.430673676470589,-66.96378734117648",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_279914444,apartments,Bloque 38,10.432019875,-66.9625893625,possible_major_damage,0.45,review,chips/osm_way_279914444_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.432019875,-66.9625893625",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_279931458,apartments,Bloque 62,10.43052695,-66.9727224,uncertain_comparison_problem,0.15,review,chips/osm_way_279931458_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.43052695,-66.9727224",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_287205261,apartments,Bloque 31,10.430735975,-66.963376625,possible_major_damage,0.62,review,chips/osm_way_287205261_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.430735975,-66.963376625",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_295041872,apartments,Edificio Royal,10.47184365,-66.957774,possible_major_damage,0.55,review,chips/osm_way_295041872_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.47184365,-66.957774",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_295041873,apartments,Edificio Lara,10.47229245,-66.95783665,likely_destroyed,0.75,urgent_review,chips/osm_way_295041873_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.47229245,-66.95783665",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_295041875,apartments,Edificio Lausanne,10.47369165,-66.9582219,uncertain_comparison_problem,0.15,review,chips/osm_way_295041875_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.47369165,-66.9582219",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_295041877,apartments,Edificio Yagual,10.47283215,-66.95865385,uncertain_comparison_problem,0.15,review,chips/osm_way_295041877_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.47283215,-66.95865385",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_295041880,apartments,Edificio Camurí Chico,10.47329965,-66.9585634,uncertain_comparison_problem,0.15,review,chips/osm_way_295041880_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.47329965,-66.9585634",Candidate-only pilot. Not official EMS damage and not public operational evidence.
osm_way_295041886,apartments,Edificio Camurí Grande,10.473338850000001,-66.9582656,uncertain_comparison_problem,0.15,review,chips/osm_way_295041886_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.473338850000001,-66.9582656",Candidate-only pilot. Not official EMS damage and not public operational evidence.
